id,pagerank,address,label,uiamount_inbound,xfer_count
236098,0.00020491498220187,0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,2694408146,56
39553,0.000172325325053738,0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,6001520865,21760
212085,0.000130982162140362,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,1143859107,121
32916,0.000128745324411779,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,1124326438,124
59328,8.24531495479152e-05,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,Justin Sun,978879094,57
60626,6.57807274681463e-05,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance 1,5420854347,94785
86248,4.91646347776936e-05,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 28,508406798,5
98519,3.43150638749515e-05,0x6782472a11987e6f4a8afb10def25b498cb622db,Justin Sun TUSD 1,973569841,22
236660,2.95571266657358e-05,0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,WS TUSD Top 100 #236660,376685130,1168
121826,2.88353998687765e-05,0x8025504c05b146ae25a84c82a73f447a88b8ae9a,FTX Exchange TUSD 1,886476881,2073
1050,2.29018587107083e-05,0x0000000000000000000000000000000000002c1d,WS TUSD Top 100 #1050,200001000,3
208500,2.10836280023593e-05,0xdbf5e9c5206d0db70a90108bf936da60221dc080,Wintermute 0xdbf5...c080,266383332,80
99616,2.03080768638959e-05,0x68b3f12d6e8d85a8d3dbbc15bba9dc5103b888a4,FTX Exchange TUSD 2,288603783,875
856,1.95182699272052e-05,0x00000000000000000000000000000000000022ed,WS TUSD Top 100 #856,252050695,997
619,1.66362349912775e-05,0x0000000000000000000000000000000000001605,WS TUSD Top 100 #619,533981095,12
82377,1.66163298515758e-05,0x564286362092d8e7936f0549571a803b203aaced,Binance 3,413180864,608
202324,1.64863705107024e-05,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,409950759,590
125170,1.63412609105946e-05,0x83a127952d266a6ea306c40ac62a4a70668fe3bd,Alameda Research 5,1459788073,975
7456,1.58012093661009e-05,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,392911903,583
812,1.47605799210055e-05,0x00000000000000000000000000000000000020d8,WS TUSD Top 100 #812,437472760,11
71772,1.14508999706812e-05,0x4b16c5de96eb2117bbe5fd171e4d203624b014aa,Binance 14 cold (?),100000000,2
